rank,training_scenario,model,model_file,total_correct,accuracy,legit_correct,legit_false_positives,phishing_correct,phishing_false_negatives,google_no_slash_prediction,google_slash_prediction,openai_research_prediction,false_positive_urls,false_negative_count
1,combined_dataset,Logistic Regression,machine_learning/trained_models/2_cross_dataset_generalisation/logistic_regression_T_ON_combined_dataset_80_20.joblib,36,0.9,20,0,16,4,legitimate,legitimate,legitimate,,4
2,combined_dataset,Linear SVM,machine_learning/trained_models/2_cross_dataset_generalisation/linear_svm_T_ON_combined_dataset_80_20.joblib,35,0.875,20,0,15,5,legitimate,legitimate,legitimate,,5
3,legitphish,Random Forest,machine_learning/trained_models/2_cross_dataset_generalisation/random_forest_T_ON_legitphish_80_20.joblib,35,0.875,16,4,19,1,legitimate,legitimate,legitimate,https://www.nhs.uk/; https://www.gov.uk/; https://www.roehampton.ac.uk/; https://www.bbc.co.uk/news,1
4,legitphish,Decision Tree,machine_learning/trained_models/2_cross_dataset_generalisation/decision_tree_T_ON_legitphish_80_20.joblib,34,0.85,18,2,16,4,legitimate,legitimate,legitimate,https://www.roehampton.ac.uk/; https://www.bbc.co.uk/news,4
5,legitphish,XGBoost,machine_learning/trained_models/2_cross_dataset_generalisation/xgboost_T_ON_legitphish_80_20.joblib,34,0.85,18,2,16,4,legitimate,legitimate,legitimate,https://www.roehampton.ac.uk/; https://www.bbc.co.uk/news,4
6,legitphish,Logistic Regression,machine_learning/trained_models/2_cross_dataset_generalisation/logistic_regression_T_ON_legitphish_80_20.joblib,33,0.825,20,0,13,7,legitimate,legitimate,legitimate,,7
7,legitphish,Linear SVM,machine_learning/trained_models/2_cross_dataset_generalisation/linear_svm_T_ON_legitphish_80_20.joblib,32,0.8,20,0,12,8,legitimate,legitimate,legitimate,,8
8,phishstorm,Logistic Regression,machine_learning/trained_models/2_cross_dataset_generalisation/logistic_regression_T_ON_phishstorm_80_20.joblib,31,0.775,20,0,11,9,legitimate,legitimate,legitimate,,9
9,phishstorm,XGBoost,machine_learning/trained_models/2_cross_dataset_generalisation/xgboost_T_ON_phishstorm_80_20.joblib,31,0.775,12,8,19,1,legitimate,legitimate,legitimate,https://www.microsoft.com/; https://www.wikipedia.org/; https://github.com/; https://www.linkedin.com/; https://www.roehampton.ac.uk/; https://www.netflix.com/; https://www.coursera.org/; https://www.cloudflare.com/,1
10,phishstorm,Linear SVM,machine_learning/trained_models/2_cross_dataset_generalisation/linear_svm_T_ON_phishstorm_80_20.joblib,29,0.725,20,0,9,11,legitimate,legitimate,legitimate,,11
11,phishstorm,Decision Tree,machine_learning/trained_models/2_cross_dataset_generalisation/decision_tree_T_ON_phishstorm_80_20.joblib,25,0.625,6,14,19,1,phishing,phishing,legitimate,https://www.google.com; https://www.google.com/; https://www.microsoft.com/; https://www.amazon.com/; https://www.wikipedia.org/; https://github.com/; https://www.linkedin.com/; https://www.roehampton.ac.uk/; https://www.office.com/; https://www.paypal.com/; https://www.netflix.com/; https://www.coursera.org/; https://www.kaggle.com/; https://www.cloudflare.com/,1
12,phishstorm,Random Forest,machine_learning/trained_models/2_cross_dataset_generalisation/random_forest_T_ON_phishstorm_80_20.joblib,24,0.6,5,15,19,1,phishing,phishing,legitimate,https://www.google.com; https://www.google.com/; https://www.microsoft.com/; https://www.apple.com/; https://www.amazon.com/; https://www.wikipedia.org/; https://github.com/; https://www.linkedin.com/; https://www.bbc.com/; https://www.roehampton.ac.uk/; https://www.office.com/; https://www.paypal.com/; https://www.netflix.com/; https://www.coursera.org/; https://www.kaggle.com/,1
13,combined_dataset,Decision Tree,machine_learning/trained_models/2_cross_dataset_generalisation/decision_tree_T_ON_combined_dataset_80_20.joblib,22,0.55,2,18,20,0,legitimate,phishing,phishing,https://www.google.com/; https://www.openai.com/research; https://www.microsoft.com/; https://www.apple.com/; https://www.amazon.com/; https://www.wikipedia.org/; https://github.com/; https://www.linkedin.com/; https://www.nhs.uk/; https://www.gov.uk/; https://www.roehampton.ac.uk/; https://www.office.com/; https://www.paypal.com/; https://www.netflix.com/; https://www.bbc.co.uk/news; https://www.coursera.org/; https://www.kaggle.com/; https://www.cloudflare.com/,0
14,combined_dataset,Random Forest,machine_learning/trained_models/2_cross_dataset_generalisation/random_forest_T_ON_combined_dataset_80_20.joblib,22,0.55,2,18,20,0,legitimate,phishing,phishing,https://www.google.com/; https://www.openai.com/research; https://www.microsoft.com/; https://www.apple.com/; https://www.amazon.com/; https://www.wikipedia.org/; https://github.com/; https://www.linkedin.com/; https://www.nhs.uk/; https://www.gov.uk/; https://www.roehampton.ac.uk/; https://www.office.com/; https://www.paypal.com/; https://www.netflix.com/; https://www.bbc.co.uk/news; https://www.coursera.org/; https://www.kaggle.com/; https://www.cloudflare.com/,0
15,combined_dataset,XGBoost,machine_learning/trained_models/2_cross_dataset_generalisation/xgboost_T_ON_combined_dataset_80_20.joblib,22,0.55,2,18,20,0,legitimate,phishing,phishing,https://www.google.com/; https://www.openai.com/research; https://www.microsoft.com/; https://www.apple.com/; https://www.amazon.com/; https://www.wikipedia.org/; https://github.com/; https://www.linkedin.com/; https://www.nhs.uk/; https://www.gov.uk/; https://www.roehampton.ac.uk/; https://www.office.com/; https://www.paypal.com/; https://www.netflix.com/; https://www.bbc.co.uk/news; https://www.coursera.org/; https://www.kaggle.com/; https://www.cloudflare.com/,0
